epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,334.382,0.51331,0.52013,0.98965,0.72811,0.4,0.42848,0.30051,1.7742,2.44172,1.53273,1.98016e-05,1.98016e-05,1.98016e-05
82,338.782,0.81434,0.78746,1.16645,0.72811,0.4,0.42848,0.30051,1.7742,2.44172,1.53273,1.90949e-05,1.90949e-05,1.90949e-05
83,342.634,0.82581,0.87597,1.19559,0.72811,0.4,0.42848,0.30051,1.7742,2.44172,1.53273,1.83646e-05,1.83646e-05,1.83646e-05
84,346.631,0.64533,0.73343,1.06127,0.73842,0.4,0.42924,0.30115,1.79725,2.49955,1.55086,1.76107e-05,1.76107e-05,1.76107e-05
85,350.551,0.61273,0.75103,1.13443,0.73842,0.4,0.42924,0.30115,1.79725,2.49955,1.55086,1.68333e-05,1.68333e-05,1.68333e-05
86,354.834,0.97154,0.87766,1.26149,0.73842,0.4,0.42924,0.30115,1.79725,2.49955,1.55086,1.60323e-05,1.60323e-05,1.60323e-05
87,358.853,0.64761,0.69296,1.01589,0.73842,0.4,0.42924,0.30115,1.79725,2.49955,1.55086,1.52077e-05,1.52077e-05,1.52077e-05
88,365.322,0.92369,1.12421,1.45504,0.73713,0.4,0.42965,0.29985,1.8037,2.54137,1.55598,1.43596e-05,1.43596e-05,1.43596e-05
89,370.329,1.09712,1.13731,1.5547,0.73713,0.4,0.42965,0.29985,1.8037,2.54137,1.55598,1.34879e-05,1.34879e-05,1.34879e-05
90,375.565,0.62852,0.71569,1.00999,0.73713,0.4,0.42965,0.29985,1.8037,2.54137,1.55598,1.25927e-05,1.25927e-05,1.25927e-05
91,380.933,0.53263,0.59777,0.95489,0.73713,0.4,0.42965,0.29985,1.8037,2.54137,1.55598,1.16739e-05,1.16739e-05,1.16739e-05
92,386.413,0.9065,0.90656,1.0622,0.90632,0.4,0.42698,0.29936,1.79985,2.5403,1.54281,1.07315e-05,1.07315e-05,1.07315e-05
93,391.901,0.46372,0.50434,0.96802,0.90632,0.4,0.42698,0.29936,1.79985,2.5403,1.54281,9.76562e-06,9.76562e-06,9.76562e-06
94,398.325,0.69079,0.60568,0.94508,0.90632,0.4,0.42698,0.29936,1.79985,2.5403,1.54281,8.77613e-06,8.77613e-06,8.77613e-06
95,404.218,0.46745,0.50455,0.94677,0.90632,0.4,0.42698,0.29936,1.79985,2.5403,1.54281,7.76308e-06,7.76308e-06,7.76308e-06
96,409.936,0.50037,0.64632,1.02205,0.91094,0.39537,0.42408,0.2991,1.79558,2.56958,1.53955,6.72648e-06,6.72648e-06,6.72648e-06
97,414.122,0.67688,0.82753,1.0704,0.91094,0.39537,0.42408,0.2991,1.79558,2.56958,1.53955,5.6663e-06,5.6663e-06,5.6663e-06
98,417.698,0.52479,0.54027,0.94035,0.91094,0.39537,0.42408,0.2991,1.79558,2.56958,1.53955,4.58257e-06,4.58257e-06,4.58257e-06
99,421.595,0.56784,0.66385,0.96715,0.91094,0.39537,0.42408,0.2991,1.79558,2.56958,1.53955,3.47528e-06,3.47528e-06,3.47528e-06
100,425.183,0.58321,0.65491,1.01706,0.91559,0.39524,0.42557,0.30035,1.75218,2.50452,1.48719,2.34442e-06,2.34442e-06,2.34442e-06
